period,trend_accuracy,strength_accuracy
2014-01,0.6666666666666666,0.7272727272727273
2014-02,0.9230769230769231,0.7777777777777778
2014-03,0.8181818181818182,0.85
2014-04,1.0,0.7222222222222222
2014-05,0.8888888888888888,0.7619047619047619
2014-06,0.6923076923076923,0.6190476190476191
2014-07,0.8125,0.8181818181818182
2014-08,0.7142857142857143,0.7368421052631579
2014-09,0.75,0.5909090909090909
2014-10,0.8333333333333334,0.8823529411764706
2014-11,0.8,0.8888888888888888
2014-12,0.6666666666666666,0.5909090909090909
2015-01,0.7857142857142857,0.55
2015-02,0.5384615384615384,0.7894736842105263
2015-03,0.46153846153846156,0.5714285714285714
2015-04,0.5,0.7777777777777778
2015-05,0.6428571428571429,0.65
2015-06,0.7333333333333333,0.6818181818181818
2015-07,0.6666666666666666,0.782608695652174
2015-08,0.8125,0.7619047619047619
2015-09,0.7333333333333333,0.7
2015-10,0.5714285714285714,0.7
2015-11,0.7,0.5555555555555556
2015-12,0.7222222222222222,0.6818181818181818
2016-01,0.4,0.6842105263157895
2016-02,0.5294117647058824,0.6666666666666666
2016-03,0.8181818181818182,0.9
2016-04,0.5454545454545454,0.6111111111111112
2016-05,0.6666666666666666,0.6363636363636364
2016-06,0.7857142857142857,0.7727272727272727
2016-07,0.75,0.7
2016-08,0.9230769230769231,0.7619047619047619
2016-09,0.5714285714285714,0.55
2016-10,0.8,0.7777777777777778
2016-11,0.7142857142857143,0.6190476190476191
2016-12,0.8125,0.6818181818181818
2017-01,0.8461538461538461,0.6666666666666666
2017-02,0.8888888888888888,0.7368421052631579
2017-03,0.7857142857142857,0.8181818181818182
2017-04,0.9285714285714286,0.6111111111111112
2017-05,0.5833333333333334,0.7727272727272727
2017-06,0.7692307692307693,0.7619047619047619
2017-07,0.9285714285714286,0.7142857142857143
2017-08,0.7058823529411765,0.7142857142857143
2017-09,0.6666666666666666,0.7142857142857143
2017-10,0.7647058823529411,0.65
2017-11,0.6923076923076923,0.5909090909090909
2017-12,0.8,0.75
2018-01,0.7333333333333333,0.7142857142857143
2018-02,0.5833333333333334,0.7368421052631579
2018-03,0.5714285714285714,0.6842105263157895
2018-04,0.9230769230769231,0.9047619047619048
2018-05,0.5882352941176471,0.7727272727272727
2018-06,0.6666666666666666,0.7619047619047619
2018-07,0.875,0.7727272727272727
2018-08,0.8666666666666667,0.7142857142857143
2018-09,0.7058823529411765,0.6666666666666666
2018-10,0.7222222222222222,0.7142857142857143
2018-11,0.9285714285714286,0.85
2018-12,0.8571428571428571,0.85
2019-01,0.7142857142857143,0.8181818181818182
2019-02,0.7692307692307693,0.6842105263157895
2019-03,1.0,0.5
2019-04,0.6875,0.7894736842105263
2019-05,0.75,0.7272727272727273
2019-06,0.4166666666666667,0.8421052631578947
2019-07,0.5625,0.6956521739130435
2019-08,0.8125,0.55
2019-09,0.5714285714285714,0.6842105263157895
2019-10,0.7272727272727273,0.5789473684210527
2019-11,0.7333333333333333,0.65
2019-12,0.6666666666666666,0.7142857142857143
2020-01,0.6842105263157895,0.782608695652174
2020-02,0.6470588235294118,0.8421052631578947
2020-03,0.8333333333333334,0.8095238095238095
2020-04,0.8333333333333334,0.7777777777777778
2020-05,0.5454545454545454,0.631578947368421
2020-06,0.8235294117647058,0.7272727272727273
2020-07,0.6470588235294118,0.8260869565217391
2020-08,0.8571428571428571,0.7619047619047619
2020-09,0.8571428571428571,0.7727272727272727
2020-10,0.6666666666666666,0.7142857142857143
2020-11,0.875,0.7368421052631579
2020-12,0.8666666666666667,0.7727272727272727
2021-01,0.5,0.85
2021-02,0.7692307692307693,0.8
2021-03,0.6111111111111112,0.8095238095238095
2021-04,0.8333333333333334,0.7894736842105263
2021-05,0.8,0.7
2021-06,0.5714285714285714,0.8181818181818182
2021-07,0.7333333333333333,0.5714285714285714
2021-08,0.9285714285714286,0.7619047619047619
2021-09,0.5833333333333334,0.7619047619047619
2021-10,0.6470588235294118,0.8
2021-11,0.7857142857142857,0.8
2021-12,0.7058823529411765,0.6086956521739131
2022-01,0.5,0.4
2022-02,0.6153846153846154,0.4
2022-03,0.4,0.5238095238095238
2022-04,0.42105263157894735,0.5263157894736842
2022-05,0.46153846153846156,0.38095238095238093
2022-06,0.5833333333333334,0.45454545454545453
2022-07,0.7058823529411765,0.19047619047619047
2022-08,0.7272727272727273,0.4
2022-09,0.5625,0.2727272727272727
2022-10,0.5714285714285714,0.3684210526315789
2022-11,0.5333333333333333,0.6190476190476191
2022-12,0.4444444444444444,0.3181818181818182
2023-01,0.5714285714285714,0.38095238095238093
2023-02,0.46153846153846156,0.4
2023-03,0.5,0.2857142857142857
2023-04,0.7,0.4117647058823529
2023-05,0.5625,0.3181818181818182
2023-06,0.42105263157894735,0.5238095238095238
2023-07,0.6,0.5238095238095238
2023-08,0.4375,0.4090909090909091
2023-09,0.6875,0.35
2023-10,0.6666666666666666,0.6
2023-11,0.7272727272727273,0.65
2023-12,0.7857142857142857,0.35
2024-01,0.5882352941176471,0.38095238095238093
2024-02,0.5625,0.3333333333333333
2024-03,0.6153846153846154,0.5555555555555556
2024-04,0.5384615384615384,0.55
2024-05,0.6666666666666666,0.42857142857142855
2024-06,0.75,0.5789473684210527
2024-07,0.5454545454545454,0.5909090909090909
2024-08,0.6666666666666666,0.5714285714285714
2024-09,0.5,0.5238095238095238
2024-10,0.4375,0.13636363636363635
2024-11,0.5,0.3684210526315789
2024-12,0.4166666666666667,0.38095238095238093
2025-01,0.55,0.2608695652173913
2025-02,0.3333333333333333,0.2
2025-03,0.7692307692307693,0.2631578947368421
2025-04,0.4666666666666667,0.5263157894736842
2025-05,0.5,0.3333333333333333
2025-06,0.5,0.3333333333333333
2025-07,0.4,0.5652173913043478
2025-08,0.5625,0.3684210526315789
2025-09,0.6923076923076923,0.45
